"Artist" "Track" "Album" "danceability" "energy" "loudness" "speechiness" "acousticness" "instrumentalness" "liveness" "tempo" "length" "time_signature" "A" "B" "C" "D" "AnB" "AnC" "AnD" "BnC" "BnD" "CnD" "AnBnC" "AnBnD" "AnCnD" "BnCnD" "AnBnCnD"
"1981" "Dan Auerbach" "Never in My Wildest Dreams" "Waiting on a Song" 0.559 0.466 -6.769 0.0362 0.315 0.0039 0.0933 117.21 176027 4 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0
"1982" "Many Voices Speak" "Want It Kept" "Want It Kept" 0.478 0.271 -11.687 0.0259 0.646 0.242 0.102 74.972 248227 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"1983" "Matt Maltese" "You Deserve an Oscar" "Good Morning It's Now Tomorrow" 0.458 0.61 -6.017 0.027 0.742 0.099 0.1 79.116 216387 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"1984" "Portico Quartet" "Prickly Pear" "Knee-Deep in the North Sea" 0.4 0.245 -14.345 0.0338 0.965 0.944 0.158 164.165 341880 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1985" "Warhaus" "Fall in Love With Me" "Warhaus" 0.526 0.435 -7.979 0.0274 0.261 0.047 0.189 115.774 266677 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"1986" "Saweetie" "Tap In" "Tap In" 0.954 0.696 -7.117 0.204 0.00576 0.000498 0.0754 100.036 139413 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1987" "Manic Street Preachers" "If You Tolerate This Your Children Will Be Next" "Forever Delayed" 0.452 0.9 -3.429 0.0342 0.000131 0.03 0.345 95.851 291253 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"1988" "SIAMES" "Summer Nights" "HOME" 0.615 0.812 -4.514 0.0325 0.000641 0.0046 0.122 99.997 215500 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1989" "Patrick Doyle" "Harry in Winter" "Harry Potter And The Goblet Of Fire (Original Motion Picture Soundtrack)" 0.175 0.248 -16.707 0.0423 0.559 0.966 0.189 110.447 174440 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"1990" "Julia Stone" "I Want To Know What Love Is (From TV series \"LOVE ME\")" "I Want To Know What Love Is (From TV series \"LOVE ME\")" 0.339 0.307 -12.968 0.0298 0.911 0.306 0.153 135.808 295213 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"1991" "Meimuna" "La tristesse du diable - Version Acoustique" "Meimuna (Bestiaire I) [Version Acoustique]" 0.631 0.076 -20.324 0.0433 0.955 8.23e-05 0.109 122.183 202993 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"1992" "NoMBe" "California Girls" "California Girls (NoMBe VS Sonny Alven)" 0.648 0.577 -9.916 0.144 0.895 0.0446 0.0848 97.91 185840 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1993" "Billy Joel" "And So It Goes" "Storm Front" 0.433 0.0871 -14.532 0.0341 0.91 1.98e-05 0.113 135.498 217573 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"1994" "Vangelis" "Zeus Almighty" "Juno to Jupiter" 0.0682 0.265 -16.959 0.0394 0.773 0.94 0.15 67.366 660587 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"1995" "El Ten Eleven" "My Only Swerving" "El Ten Eleven" 0.521 0.627 -11.863 0.0471 0.109 0.829 0.122 171.84 314587 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1996" "Skinshape" "Summer" "Motion" 0.596 0.856 -3.556 0.0346 0.0211 0.0178 0.141 127.949 222533 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1997" "Fujiya & Miyagi" "Transparent Things" "Transparent Things" 0.943 0.631 -7.295 0.0849 0.00204 0.762 0.0965 121.954 175344 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"1998" "Hey Violet" "Better By Myself" "Better By Myself" 0.695 0.715 -6.675 0.0528 0.0568 0.000221 0.0992 96.997 194409 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"1999" "Darwin Deez" "The World's Best Kisser" "10 Songs That Happened When You Left Me With My Stupid Heart" 0.517 0.411 -10.569 0.351 0.159 0 0.224 93.188 227601 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2000" "Rise Against" "Entertainment" "Appeal To Reason / Siren Song Of The Counter Culture / The Sufferer & The Witness" 0.542 0.949 -3.016 0.0555 0.000644 8.88e-05 0.136 100.492 214666 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"2001" "Shannon & The Clams" "The Boy" "Building The Perfect Beast" 0.516 0.549 -13.741 0.0373 0.501 0.00572 0.184 176.941 288733 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2002" "The Clash" "Red Angel Dragnet - Remastered" "Combat Rock (Remastered)" 0.759 0.729 -8.654 0.143 0.0323 0 0.275 138.549 224240 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"2003" "Barenaked Ladies" "Lookin’ Up" "Fake Nudes" 0.676 0.881 -4.558 0.0292 0.00578 0.000312 0.0691 119.982 170173 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"2004" "Gabrielle Aplin" "Losing Me" "Losing Me" 0.66 0.449 -6.573 0.0442 0.209 0 0.111 133.984 180640 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2005" "Fleetwood Mac" "Everywhere" "Greatest Hits" 0.69 0.54 -10.516 0.0317 0.218 0.00657 0.115 114.846 222733 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"2006" "LCD Soundsystem" "New York, I Love You but You're Bringing Me Down" "Sound of Silver" 0.39 0.37 -8.288 0.0457 0.474 0.00013 0.115 176.526 335480 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2007" "Caetano Veloso" "Samba De Verao" "Bossa Chill" 0.734 0.313 -16.679 0.0492 0.842 0.0535 0.11 119.773 186627 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2008" "Various Artists" "Way Back Into Love (Demo Version)" "Music And Lyrics - Music From and Inspired By The Motion Picture (International Release)" 0.478 0.436 -7.497 0.111 0.742 0 0.266 203.879 252400 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"2009" "Jason Mraz" "Have It All" "Know." 0.643 0.638 -4.947 0.0407 0.204 0 0.0707 82.001 226107 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2010" "Chinese Man" "7th Street" "The Groove Sessions, Vol. 2" 0.839 0.879 -6.833 0.0663 0.0523 0.683 0.0784 109.99 248499 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2011" "Beach Fossils" "Sleep Apnea" "Clash the Truth" 0.553 0.685 -10.624 0.0266 0.145 0.859 0.138 79.998 146293 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2012" "George Ezra" "Green Green Grass" "Green Green Grass" 0.685 0.738 -4.413 0.0595 0.0695 0 0.128 112.972 167614 4 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0
"2013" "Two Feet" "Until I Come Home" "Until I Come Home" 0.6 0.781 -5.245 0.035 0.0697 0.00472 0.0747 77.992 195837 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2014" "Asagaya" "Elusive Delusive" "The Light of the Dawn" 0.732 0.552 -10.2 0.0267 0.0121 4.86e-05 0.113 126.972 190343 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2015" "Nomo" "Upside Down" "Diana" 0.873 0.855 -8.559 0.0615 0.179 0.0285 0.0377 107.868 245600 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2016" "Childish Gambino" "Redbone" "\"Awaken, My Love!\"" 0.743 0.344 -11.174 0.118 0.169 0.00879 0.103 160.15 326933 4 1 0 1 1 0 1 1 0 0 1 0 1 0 0 0
"2017" "Sam Fender" "Sad But True - Live" "Sad But True (Live)" 0.389 0.269 -7.253 0.0292 0.708 0 0.0689 139.316 230493 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2018" "Quantic" "Travelling Song" "Look Around the Corner" 0.652 0.641 -9.636 0.0266 0.306 2.82e-06 0.0801 117.035 284160 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2019" "Dino Brandāo" "E Nacht a de Langstrass" "Ich liebe Dich" 0.624 0.334 -11.246 0.0303 0.796 1.24e-06 0.4 118.094 220600 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2020" "The Script" "Talk You Down" "The Script" 0.538 0.907 -3.921 0.0425 0.0526 0 0.155 136.035 230693 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"2021" "João Gilberto" "Palpite Infeliz" "Joao" 0.631 0.313 -19.118 0.0847 0.565 0.137 0.187 90.345 233000 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2022" "John Mayer" "Gravity" "Continuum" 0.753 0.326 -9.883 0.0342 0.731 0.00131 0.24 123.799 245827 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2023" "Run The Jewels" "ooh la la (feat. Greg Nice & DJ Premier)" "RTJ4" 0.686 0.824 -5.413 0.34 0.157 0 0.242 170.079 183827 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2024" "Hudson Harris & Haim" "For All We Know" "For All We Know" 0.316 0.085 -20.584 0.0355 0.971 0.821 0.106 59.622 264480 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2025" "Nickel Eye" "Brandy of the Damned" "The Time Of The Assassins" 0.709 0.735 -7.972 0.0362 0.00538 0.132 0.0642 108.023 179120 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2026" "José González" "Heartbeats" "Veneer" 0.394 0.151 -16.748 0.0359 0.976 0.739 0.0664 178.051 160240 4 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0
"2027" "Abhi The Nomad" "Sex n' Drugs" "Marbled" 0.831 0.32 -7.916 0.143 0.299 0 0.0757 80.935 217778 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2028" "LÉON" "I Believe in Us" "Surround Me - EP" 0.555 0.423 -6.232 0.044 0.799 0 0.112 137.044 202147 4 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0
"2029" "Fyfe Dangerfield" "She's Always A Woman - Bonus Track" "Fly Yellow Moon" 0.468 0.323 -8.597 0.0333 0.905 0 0.109 122.307 194680 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2030" "Rayland Baxter" "Small Worlds" "Good Mmornin" 0.646 0.525 -9.488 0.0893 0.629 0.0227 0.106 74.481 336507 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2031" "KAWALA" "Pure Desire" "Pure Desire / Loosen Up" 0.626 0.851 -6.471 0.0327 0.107 1.51e-05 0.0823 120.032 206173 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2032" "Joy Williams" "The Trouble with Wanting" "Front Porch" 0.396 0.198 -9.096 0.031 0.912 0 0.0972 138.624 235587 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2033" "Green Day" "Waiting" "International Superhits!" 0.557 0.834 -4.371 0.0335 0.0219 0 0.329 137.69 192360 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"2034" "Eleni Drake" "Peaches" "Vanilla Sky" 0.509 0.183 -18.628 0.0326 0.901 0.0556 0.112 75.073 236800 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2035" "Holly Humberstone" "Fake Plastic Trees" "Fake Plastic Trees" 0.505 0.191 -9.909 0.03 0.869 0.000246 0.106 149.725 260000 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2036" "LP" "Conversation" "Legends Never Die" 0.747 0.622 -5.825 0.0838 0.176 0 0.151 159.93 181661 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2037" "Bermuda Triangle" "Suzanne" "Suzanne" 0.799 0.48 -9.839 0.069 0.533 0.0158 0.131 113.428 177704 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2038" "Sabrina Austin" "Seven Hills Of Rome" "Seven Hills Of Rome" 0.387 0.0541 -22.343 0.0333 0.99 0.932 0.0994 135.858 145673 5 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2039" "Indochine" "J'ai demandé à la lune" "Paradize" 0.712 0.632 -9.017 0.0237 0.233 0.224 0.246 109.999 209413 4 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0
"2040" "Kevin Morby" "Beautiful Strangers" "Beautiful Strangers b/w No Place to Fall" 0.826 0.423 -11.127 0.0446 0.762 0.0691 0.105 100.037 375903 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2041" "This Is The Kit" "Moonshine Freeze" "Moonshine Freeze" 0.672 0.59 -8.589 0.0763 0.432 5.41e-05 0.11 98.424 221667 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2042" "Julian Friedrich" "Im Garten nebenan" "Oetztal" 0.464 0.0538 -26.598 0.041 0.995 0.938 0.0854 139.975 162307 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2043" "Angus & Julia Stone" "Take Me Home" "I Cry When I Laugh" 0.558 0.451 -6.163 0.0388 0.292 0 0.101 150.008 265382 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2044" "Paramore" "Interlude: Holiday" "Paramore" 0.739 0.258 -15.356 0.0589 0.811 4.58e-05 0.143 79.994 69680 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"2045" "Tom Walker" "For Those Who Can't Be Here" "For Those Who Can't Be Here" 0.621 0.543 -2.976 0.0268 0.705 0 0.147 125.941 183080 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2046" "Pink Floyd" "Money - 2011 Remastered Version" "The Dark Side Of The Moon (2011 Remastered Version)" 0.47 0.505 -11.966 0.171 0.0194 0.00104 0.206 124.065 380080 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2047" "Django Django" "Default" "Django Django" 0.747 0.875 -5.635 0.0282 0.00733 1.1e-06 0.184 115.967 185640 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2048" "Klô Pelgag" "Notre-Dame-des-Sept-Douleurs" "Notre-Dame-des-Sept-Douleurs" 0.233 0.183 -17.702 0.0362 0.986 0.936 0.17 66.657 104693 5 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2049" "Tony Allen" "Go Back" "Nova Tunes 3.1" 0.678 0.905 -5.526 0.0784 0.0568 0.0239 0.24 90.092 243787 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2050" "Ed Sheeran" "I See Fire - From \"The Hobbit - The Desolation Of Smaug\"" "The Hobbit - The Desolation Of Smaug (Original Motion Picture Soundtrack / Special Edition)" 0.581 0.0549 -20.514 0.0397 0.559 0 0.0718 152.037 300840 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2051" "Justin Warfield" "K Sera Sera" "My Field Trip To Planet 9" 0.774 0.701 -8.589 0.193 0.0484 0 0.0797 92.159 191827 4 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0
"2052" "Loe Brezy" "Love Me Right" "Lost Instrument" 0.667 0.717 -8.431 0.0843 0.0551 0.865 0.093 159.945 102750 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2053" "Journey" "Don't Stop Believin'" "The Essential Journey" 0.491 0.802 -7.106 0.0392 0.25 0 0.387 119.25 248906 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"2054" "Mammal Hands" "Quiet Fire" "Floa" 0.419 0.445 -9.961 0.0309 0.289 0.897 0.113 95.031 400352 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2055" "The Icicle Works" "Out of Season" "The Icicle Works" 0.525 0.515 -16.38 0.0379 0.00808 4.11e-05 0.0619 167.914 286173 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"2056" "Yusuf / Cat Stevens" "Fisherman Song - Studio Demo" "Teaser And The Firecat (Deluxe)" 0.569 0.449 -8.5 0.0343 0.548 4.54e-06 0.118 128.551 141067 5 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2057" "John Frusciante" "One More Of Me" "The Empyrean" 0.292 0.117 -16.098 0.0364 0.704 0.0023 0.122 88.289 247107 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2058" "Anderson Rocio" "Paradise" "Paradise" 0.654 0.197 -7.226 0.0424 0.978 1.73e-05 0.112 73.025 198585 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"2059" "Hippo Campus" "Suicide Saturday" "Bashful Creatures" 0.443 0.716 -5.556 0.0331 0.0228 0 0.227 155.886 212885 4 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0
"2060" "The Proclaimers" "Over and Done With" "This Is the Story" 0.596 0.496 -10.509 0.0426 0.698 0 0.193 67.579 167960 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"2061" "City of the Sun" "Máscaras en el Viento" "Máscaras en el Viento" 0.498 0.191 -16.002 0.0335 0.927 0.97 0.115 122.926 148653 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2062" "Alvvays" "Dreams Tonite" "Antisocialites" 0.506 0.623 -5.725 0.0242 0.0101 3.93e-06 0.127 99.913 196027 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2063" "Bon Entendeur" "Le temps est bon" "Aller-retour" 0.573 0.679 -5.693 0.079 0.237 6.82e-05 0.375 98.085 203160 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2064" "Emancipator" "Sea To Sky - Parra For Cuva Remix" "Sea To Sky (Parra For Cuva Remix)" 0.712 0.685 -8.431 0.034 0.44 0.865 0.0975 104.98 226384 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2065" "Sufjan Stevens" "Video Game" "The Ascension" 0.673 0.797 -8.131 0.0524 0.651 0.00977 0.111 129.98 255722 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2066" "Craig Armstrong" "Glasgow Love Theme" "Love Actually (Original Motion Picture Score)" 0.312 0.122 -15.618 0.0313 0.985 0.927 0.0765 78.664 125187 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2067" "Fujiya & Miyagi" "Dishwasher" "Lightbulbs" 0.902 0.536 -8.926 0.0567 0.0557 0.835 0.102 101.983 167813 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2068" "Orla Gartland" "oh GOD" "Freckle Season" 0.791 0.296 -6.587 0.0321 0.135 0.00127 0.132 92.496 167940 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2069" "Joni Mitchell" "California" "Greatest Hits" 0.763 0.85 -3.052 0.0417 0.0304 1.21e-06 0.371 91.519 284907 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2070" "Linkin Park" "Numb" "Meteora" 0.496 0.863 -4.153 0.0381 0.0046 0 0.639 110.018 185586 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"2071" "Erik Satie" "Messe des pauvres (Arr. A. Simonetto for Piano): III. Prière des orgues" "Satie: Esoteric Works, Vol. 2 – Vexations, Uspud, Messe des pauvres" 0.692 0.177 -23.238 0.628 0.987 0.948 0.0767 120.32 216973 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2072" "The Naked And Famous" "Punching In A Dream - Single Version" "Punching In A Dream" 0.476 0.894 -3.328 0.0473 0.00108 0.00132 0.151 115.028 214227 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2073" "Sundara Karma" "Illusions" "Ulfilas' Alphabet" 0.547 0.742 -6.157 0.0289 0.0252 2.37e-05 0.879 81.22 305813 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"2074" "Clara Louise" "Deine Heimat" "Verbunden" 0.778 0.212 -13.704 0.0383 0.523 0.00601 0.107 123.917 161000 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2075" "Gemma Hayes" "Palomino" "Bones + Longing" 0.717 0.357 -10.156 0.0367 0.852 7.92e-06 0.118 117.224 222827 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2076" "Ansel Elgort" "Thief" "Thief" 0.592 0.741 -3.792 0.0842 0.0251 0 0.111 180.038 220680 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2077" "Concorde" "Just Kiss Her" "Summer House" 0.392 0.644 -5.229 0.0332 0.000791 0.392 0.106 120.569 302533 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2078" "The Longest Johns" "Bonny Ship the Diamond" "Cures What Ails Ya" 0.68 0.728 -5.34 0.0287 0.209 0 0.115 95.951 244000 4 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0
"2079" "Shaun Bertsch" "Remind Me" "Remind Me" 0.599 0.831 -4.188 0.0439 0.0603 0 0.204 132.019 211167 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2080" "Ben Howard" "Rookery - Live" "Variations Volume 1" 0.616 0.222 -9.924 0.0644 0.861 0.000941 0.331 106.001 135777 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2081" "Barenaked Ladies" "I Know" "Born on a Pirate Ship (Enhanced Edition)" 0.434 0.519 -11.206 0.0821 0.0296 0 0.358 130.753 182933 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"2082" "LP" "When We Touch" "Churches" 0.164 0.215 -10.955 0.0346 0.105 0.00339 0.137 163.333 172320 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2083" "Ivan & Alyosha" "Easy to Love" "Easy To Love" 0.675 0.653 -8.414 0.0338 0.108 0.0459 0.113 125.945 270373 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2084" "Alfie Templeman" "Obvious Guy" "Happiness in Liquid Form" 0.778 0.777 -4.169 0.0392 0.00604 0.000131 0.0884 115.995 201989 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2085" "Paramore" "Stop This Song (Love Sick Melody)" "Riot!" 0.469 0.94 -3.381 0.0875 5.18e-05 0.000118 0.209 170.966 203600 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"2086" "Miles Davis" "Milestones (feat. John Coltrane, Cannonball Adderley, Red Garland, Paul Chambers & Philly Joe Jones)" "Milestones" 0.553 0.546 -7.459 0.0341 0.439 0.000557 0.167 118.214 342067 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2087" "Esmiralda Rose" "Ravi" "Teesta" 0.415 0.0244 -31.106 0.0373 0.977 0.862 0.103 129.918 144698 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2088" "Robert Palmer" "Sneakin' Sally Through The Alley" "Sneakin' Sally Through The Alley" 0.64 0.679 -12.356 0.0302 0.424 0.00294 0.0878 99.296 265893 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2089" "Aukai" "Waves - Stimming Rework" "Waves (Stimming Rework)" 0.689 0.345 -15.465 0.0359 0.686 0.659 0.119 137.989 240000 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2090" "Jacob Collier" "Make Me Cry" "Djesse Vol. 2" 0.563 0.152 -18.381 0.05 0.917 0.000171 0.139 121.09 232800 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2091" "Jurassic 5" "A Day At The Races" "Power In Numbers" 0.841 0.802 -6.236 0.239 0.112 8.63e-06 0.528 112.669 242600 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2092" "Eddie Berman" "The Wheel" "Top 50 Nursery Rhymes" 0.729 0.415 -8.857 0.0673 0.692 0 0.157 166 66072 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2093" "Apache 207" "Roller" "Platte" 0.941 0.758 -6.47 0.17 0.0256 0.00258 0.193 128.017 157093 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2094" "dreambody" "we all believe" "communion" 0.456 0.289 -12.022 0.45 0.857 1.45e-06 0.0758 75.063 170400 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2095" "Die Höchste Eisenbahn" "Was machst du dann" "Schau in den Lauf Hase" 0.753 0.55 -9.332 0.0396 0.098 0 0.102 144.027 204640 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2096" "The Astral Twins" "Fire In Your Eyes" "No More Idols" 0.385 0.899 -5.565 0.086 0.00223 2.61e-06 0.199 140.065 255413 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2097" "The Meters" "Hand Clapping Song" "Struttin'" 0.805 0.518 -12.802 0.0804 0.487 0.853 0.102 90.52 176627 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2098" "Caravan Palace" "Aftermath" "<I°_°I>" 0.614 0.663 -7.105 0.0406 0.232 0.00318 0.297 140.018 185870 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2099" "AKMU" "Tictoc Tictoc Tictoc (with Beenzino)" "NEXT EPISODE" 0.953 0.53 -7.749 0.0407 0.178 0.00227 0.0808 112.044 236703 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2100" "Oh Wonder" "Magnificent" "Magnificent" 0.622 0.392 -12.572 0.0405 0.336 0.00962 0.073 79.977 268528 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2101" "Lupe Fiasco" "Kick, Push" "Lupe Fiasco's Food & Liquor" 0.652 0.809 -5.276 0.17 0.164 0 0.175 94.786 254466 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2102" "The Wailin' Jennys" "The Parting Glass" "40 Days" 0.504 0.00846 -19.168 0.103 0.968 0 0.226 86.099 140133 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2103" "Dove Cameron" "If Only" "Descendants (Original TV Movie Soundtrack)" 0.477 0.6 -5.652 0.0324 0.271 0 0.112 152.062 229813 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2104" "Mitski" "Strawberry Blond" "Retired from Sad, New Career in Business" 0.553 0.545 -8.299 0.0867 0.839 0 0.061 77.332 114277 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2105" "LP" "Muddy Waters" "Lost on You" 0.509 0.484 -7.802 0.0701 0.394 3.41e-06 0.308 125 228547 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2106" "Vic Kelly" "Arlo Riley" "Arlo Riley" 0.261 0.0332 -25.124 0.0362 0.979 0.872 0.119 71.612 42839 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2107" "UNSECRET" "I'm Coming For It" "I'm Coming For It" 0.577 0.461 -7.437 0.0284 0.0749 0 0.0989 105.013 187076 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2108" "Mister Modo & Ugly Mac Beer" "Danger Modo" "Modonut" 0.774 0.543 -6.334 0.0446 0.0214 0.769 0.188 76.953 162333 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2109" "Tom Grennan" "Don't Break the Heart - VIZE Remix" "Don't Break the Heart (VIZE Remix)" 0.755 0.909 -3.398 0.0489 0.0118 3.76e-05 0.375 127.951 153750 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2110" "AnnenMayKantereit" "So laut so leer" "12" 0.704 0.374 -10.95 0.0953 0.857 0.000661 0.142 117.01 163989 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"2111" "Logic" "My Way" "My Way" 0.818 0.913 -3.06 0.0426 0.093 3.69e-05 0.161 119.986 219160 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
