Artist,Track,Album,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,length,time_signature,A,B,C,D,AnB,AnC,AnD,BnC,BnD,CnD,AnBnC,AnBnD,AnCnD,BnCnD,AnBnCnD
Adele,Hello,Hello,0.471,0.431,-6.129,0.0342,0.329,0.0,0.0854,157.98,295502,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sons Of The East,The Farmer,Already Gone,0.54,0.615,-8.694,0.0506,0.33,2e-06,0.0976,124.9,246058,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Edward Elgar,"Salut d'amour, Op. 12",Jubilee,0.159,0.068,-22.801,0.0469,0.993,0.882,0.0893,79.959,183583,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rick Astley,Never Gonna Give You Up,Whenever You Need Somebody,0.721,0.939,-11.823,0.0376,0.115,3.79e-05,0.108,113.309,213573,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wampire,Wizard Staff,Bazaar,0.619,0.708,-5.773,0.0235,0.222,0.00146,0.133,83.164,232240,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Tom Misch,It Runs Through Me,Geography,0.802,0.607,-11.028,0.289,0.205,0.000748,0.246,96.916,261881,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnny Cash,Ring of Fire,Ring Of Fire: The Best Of Johnny Cash,0.659,0.585,-8.189,0.0288,0.623,0.000213,0.348,104.111,158426,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MEUTE,You & Me,Settle (Special Edition),0.593,0.392,-6.872,0.0257,0.382,0.000114,0.131,75.065,282813,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Rosenthal,Lights Are On,Z-Sides,0.44,0.04,-16.887,0.0322,0.981,0.465,0.111,135.965,193749,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Linkin Park,Shadow of the Day,Minutes to Midnight,0.534,0.393,-7.813,0.0292,0.00479,0.0107,0.107,110.007,290360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lord Huron,She Lit a Fire,Lonesome Dreams,0.484,0.74,-6.671,0.029,0.257,0.000105,0.0999,84.956,270667,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Band CAMINO,Crying Over You,Crying Over You,0.463,0.411,-8.25,0.0414,0.679,0.0,0.0453,147.3,178949,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Khruangbin,"Father Bird, Mother Bird (Sunbirds)",Mordechai Remixes,0.48,0.322,-10.922,0.0508,0.417,0.619,0.191,87.947,173484,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aukai,Soplo del Sueño,Soplo del Sueño (Message to Bears Rework),0.483,0.468,-13.53,0.0474,0.748,0.829,0.121,75.058,219013,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeanne Added,Look at Them,Be Sensational,0.53,0.284,-8.126,0.0351,0.392,8.11e-05,0.183,123.883,215667,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rad Museum,Dancing In The Rain,Scene,0.464,0.365,-9.582,0.0256,0.563,0.0,0.123,84.977,203000,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gloria Estefan,Tres Gotas De Agua Bendita (feat. Celia Cruz),Alma Caribeña,0.791,0.717,-6.055,0.0473,0.0889,0.0,0.0307,110.047,257160,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blossoms,There's A Reason Why (I Never Returned Your Calls),Cool Like You (Deluxe),0.492,0.87,-5.325,0.0459,0.015,2.76e-06,0.22,123.974,222488,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Vistas,Eighteen,Eighteen,0.426,0.664,-3.501,0.0284,3.68e-05,0.00033,0.18,157.992,201921,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hollywood Undead,Bullet,American Tragedy (Deluxe Edition),0.681,0.833,-4.334,0.121,0.179,0.0,0.0677,184.975,197813,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lara Di Umbra,Nomae,Arctica,0.369,0.0447,-27.445,0.04,0.993,0.889,0.0986,136.026,189094,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Winston Surfshirt,Be About You,Sponge Cake,0.766,0.396,-10.756,0.0599,0.375,0.00129,0.0891,92.017,245687,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Creedence Clearwater Revival,Who'll Stop The Rain,Creedence Clearwater Revival - Best Of,0.622,0.816,-7.05,0.0325,0.029,0.000308,0.0631,123.253,147466,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
St. South,Get Good - Infinitefreefall Remix,Get Good (Infinitefreefall Remix),0.664,0.772,-5.285,0.0325,0.253,0.227,0.39,90.983,286154,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dandy Warhols,Bohemian Like You,Thirteen Tales From Urban Bohemia,0.584,0.931,-6.158,0.0344,0.00315,0.772,0.133,131.275,211707,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sufjan Stevens,Jacksonville,Illinois,0.598,0.445,-8.945,0.0324,0.363,0.000389,0.645,140.073,324720,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerry Rafferty,Baker Street,City to City,0.497,0.349,-14.0,0.0297,0.0929,0.028,0.259,113.762,365626,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanilla Ice,Ice Ice Baby,Vanilla Ice Is Back! - Hip Hop Classics,0.979,0.792,-2.784,0.0388,0.0025,7.71e-06,0.102,116.012,254467,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johann Sebastian Bach,"Orchestral Suite No. 2 in B Minor, BWV 1067: VII. Menuet",Bach: Orchestral Suites Vol. 1 No. 1+2 Concerto For Oboe And Violin,0.445,0.0879,-27.686,0.0434,0.93,0.881,0.145,120.544,160800,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakar,Hell N Back,Hell N Back,0.584,0.684,-4.314,0.567,0.312,9.05e-05,0.112,210.164,213573,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clean Cut Kid,"Get Born, Grow up and Move Away",Mother’s Milk,0.549,0.483,-12.556,0.0406,0.702,0.0195,0.19,79.121,142453,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dream,Roadtrip,Roadtrip,0.459,0.581,-6.575,0.0713,0.316,0.0,0.124,176.195,133661,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Natural Child,Sure Is Nice,Okey Dokey,0.63,0.669,-9.84,0.0291,0.236,0.198,0.102,135.117,321944,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biffy Clyro,In the Name of the Wee Man,Ellipsis (Deluxe),0.556,0.801,-3.175,0.0444,0.0035,0.0,0.104,141.861,265426,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Day Wave,Potions,Crush,0.646,0.705,-5.816,0.0294,0.495,4.77e-05,0.151,91.513,190061,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gorillaz,Feel Good Inc.,Demon Days,0.818,0.705,-6.679,0.177,0.00836,0.00233,0.613,138.559,222640,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Approachable Members of Your Local Community,Millennium Queen,Millennium Queen,0.512,0.57,-6.849,0.0263,0.723,0.00192,0.1,98.015,217014,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jenny Lange,Wheels in Motion,Spritual,0.313,0.111,-32.044,0.0484,0.994,0.916,0.101,115.681,188625,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jules Massenet,Méditation de Thaïs,Cello Moods,0.111,0.0631,-25.589,0.0457,0.976,0.889,0.114,72.455,293000,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Woody and Jeremy,Too Hot in L.A.,Strange Satisfaction,0.764,0.711,-6.685,0.0333,0.0174,8.16e-06,0.154,106.556,256440,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sumsar,Amaprinces Bend,Amaprinces Bend,0.136,0.0611,-28.291,0.0383,0.98,0.869,0.106,133.406,192409,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sufjan Stevens,The Only Thing,Carrie & Lowell,0.51,0.146,-19.585,0.0389,0.987,0.0688,0.107,159.034,284131,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Fender,Winter Song,Winter Song,0.314,0.309,-3.809,0.0312,0.855,4.71e-06,0.123,171.132,254437,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfachronic,50 Hz Gamma,Brainwave State Gamma,0.153,0.0343,-23.779,0.0523,0.995,0.0,0.089,134.63,190480,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Paolo Nutini,Candy,Sunny Side Up,0.612,0.601,-7.809,0.0421,0.373,0.0,0.156,125.164,298693,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tinariwen,Tiwàyyen,Elwan,0.454,0.623,-8.709,0.0575,0.147,0.741,0.115,126.453,224400,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lemaitre,Cut to Black,Relativity 3,0.625,0.546,-8.432,0.0932,0.0493,0.0337,0.263,203.972,201827,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nirvana,Smells Like Teen Spirit,Nevermind (Deluxe Edition),0.502,0.912,-4.556,0.0564,2.55e-05,0.000173,0.106,116.761,301920,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Richard Houghten,Naked Tea,Naked Tea,0.616,0.194,-15.151,0.0316,0.837,0.824,0.131,80.012,225686,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Parcels,Overnight,Overnight,0.815,0.819,-9.494,0.0521,0.364,0.0555,0.115,119.986,219604,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicholas Hooper,School!,Harry Potter and the Half-Blood Prince (Original Motion Picture Soundtrack),0.612,0.0428,-31.236,0.0481,0.762,0.0219,0.0985,140.46,65133,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Warpaint,The Stall,Heads Up,0.638,0.674,-6.881,0.04,0.198,0.681,0.103,114.931,295666,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honig,Golden Circle,"It's Not a Hummingbird, It's Your Father's Ghost",0.482,0.507,-8.957,0.0327,0.675,1.97e-06,0.173,87.817,229173,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Razz,Everything I'll Ever Need,Everything I'll Ever Need,0.625,0.619,-9.705,0.0326,0.239,0.386,0.419,143.739,210929,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David Bowie,Silly Boy Blue - Tibet Version,Toy (Toy:Box),0.392,0.523,-8.308,0.0312,0.391,0.00716,0.128,180.004,312378,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Young the Giant,Cough Syrup,Young The Giant (Special Edition),0.534,0.721,-7.307,0.0417,0.0343,6.24e-06,0.115,128.978,249520,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Noah Kahan,Hurt Somebody,Busyhead,0.638,0.51,-6.485,0.305,0.344,0.0,0.212,114.576,167106,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Magick Brother & Mystic Sister,Utopia,TREASURE EP.3: One To All,0.668,0.686,-5.162,0.0335,0.00464,0.0,0.342,116.029,239067,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Biba Dupont,Serán,Serán,0.317,0.0501,-27.141,0.0363,0.995,0.9,0.0868,74.31,152696,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lama House,Heart of the River of the Sun,Heart of the River of the Sun,0.472,0.124,-22.252,0.041,0.967,0.917,0.112,109.567,151782,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cassia,Gotta Get Through Til Monday,Gotta Get through Til Monday,0.709,0.439,-9.073,0.0522,0.516,0.0,0.147,74.948,221820,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
George Ezra,Blame It on Me,Wanted on Voyage (Expanded Edition),0.537,0.757,-3.374,0.0274,0.473,0.0,0.341,103.882,196400,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Holly Humberstone,Falling Asleep At The Wheel,Falling Asleep At The Wheel,0.662,0.626,-8.3,0.221,0.736,0.0,0.27,121.828,203248,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama Shakes,This Feeling,Sound & Color (Deluxe Edition),0.625,0.334,-11.514,0.0361,0.844,0.00458,0.113,130.823,268853,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Vulfpeck,Baby I Don’t Know Oh Oh (feat. Charles Jones),Mr Finish Line,0.638,0.477,-6.144,0.055,0.193,0.000153,0.358,112.737,208955,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The 1975,"UGH! - Live From The O2, London. 16.12.16","DH00278 (Live from The O2, London. 16.12.16)",0.618,0.963,-5.639,0.128,0.105,9.06e-06,0.806,100.043,184987,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Billie Holiday,Lover Man,Lover Man,0.365,0.136,-12.42,0.0436,0.921,0.0,0.103,64.212,197707,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig Sharmat,Outside In,Outside In,0.705,0.697,-6.617,0.0272,0.233,0.287,0.0425,91.967,260320,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruce Springsteen,Born to Run,Born To Run,0.253,0.868,-9.773,0.073,0.0511,0.0,0.214,146.647,269200,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Zaz,Je veux,Zaz,0.525,0.807,-6.366,0.0725,0.251,0.0,0.0504,155.397,215933,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Milo Greene,1957,Milo Greene,0.388,0.595,-9.799,0.0325,0.663,5.58e-05,0.178,190.043,204213,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Novo Amor,Euphor,Heiress,0.296,0.284,-14.01,0.033,0.968,0.189,0.0961,114.786,243467,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Low Roar,Hummingbird,Hummingbird,0.677,0.832,-7.606,0.035,0.00379,0.9,0.176,129.029,177787,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Avalanches,Running Red Lights,We Will Always Love You,0.674,0.686,-6.08,0.0237,0.227,0.0,0.39,100.502,279480,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wild Child,Crazy Bird,The Runaround,0.779,0.523,-8.359,0.0361,0.247,0.000179,0.318,93.483,241267,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sasha Alex Sloan,Dancing With Your Ghost,Dancing With Your Ghost,0.629,0.328,-8.284,0.029,0.768,2.5e-05,0.103,74.953,197732,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamie xx,Loud Places,In Colour,0.646,0.63,-10.748,0.0435,0.00462,0.27,0.122,109.018,283067,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAMP STAMPS,Sex With Me,Sex With Me,0.726,0.782,-5.592,0.0662,0.087,6.2e-06,0.0315,96.028,175547,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Louis Prima,Just A Gigolo / I Ain't Got Nobody - Medley / Remastered 2002,The Wildest! (Expanded Edition),0.519,0.638,-5.226,0.0942,0.683,0.0,0.0561,124.878,284893,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
FEATHERED SUN,Mellifluous Soltitude,Mellifluous Soltitude,0.881,0.121,-11.521,0.187,0.891,0.933,0.109,146.14,160589,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Fjords,You Know,Lethal Injection,0.747,0.52,-10.523,0.0357,0.0977,0.0537,0.142,92.869,232773,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luna Bauer,Lady Ground,Lady Ground,0.35,0.0922,-26.764,0.0426,0.993,0.975,0.109,119.252,174353,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sixpence None The Richer,Us,Sixpence None the Richer: Greatest Hits,0.595,0.789,-7.574,0.0299,0.000231,1.75e-05,0.192,115.046,262626,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Royal & the Serpent,overwhelmed,Overwhelmed,0.804,0.323,-11.127,0.305,0.308,0.0,0.15,87.019,159293,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YOTA : Youth of the Apocalypse,Drop the Bomb,Drop the Bomb,0.539,0.883,-4.318,0.122,0.0104,0.0,0.0771,160.022,213733,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Xerxes Fussell,Breast of Glass,Good and Green Again,0.447,0.204,-12.486,0.0397,0.921,0.772,0.104,166.382,241640,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Vance Joy,Missing Piece - Acoustic,Missing Piece (Acoustic),0.679,0.585,-4.65,0.0345,0.673,0.0,0.196,102.097,203633,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Miley Cyrus,Wrecking Ball,Bangerz (Deluxe Version),0.53,0.422,-6.262,0.0342,0.407,0.0,0.107,119.964,221360,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mamas Gun,I Need a Win,Golden Days,0.611,0.647,-8.048,0.0356,0.238,0.0648,0.479,118.959,280280,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Docherty,Broken Bird,Broken Bird,0.361,0.347,-15.219,0.036,0.233,0.000638,0.143,112.605,215743,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tipling Rock,Staring,Staring,0.608,0.687,-6.447,0.0372,0.0417,0.0,0.0966,156.95,206333,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Chainsmokers,Hope,?,0.592,0.457,-6.081,0.0603,0.661,0.000331,0.146,146.04,110886,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesse McCartney,Beautiful Soul,Beautiful Soul,0.66,0.666,-4.342,0.0472,0.0759,0.0,0.0268,89.975,214227,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Paramore,Careful,Brand New Eyes,0.417,0.945,-3.703,0.0805,0.00019,8.63e-05,0.2,164.997,230440,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Henry And The Waiter,Don't Wanna Die Alone,Don't Wanna Die Alone,0.685,0.703,-5.887,0.0422,0.0683,0.000132,0.16,171.974,160465,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Beautiful Chorus,Pachamama,Hymns of Spirit,0.305,0.0536,-18.215,0.0501,0.994,0.0136,0.403,166.222,138298,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Beta Radio,I Need My Prayers - Acoustic,Made of Love,0.424,0.432,-10.544,0.0261,0.857,0.00359,0.0987,80.753,187381,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rosa Leoni,Seine,Moonray,0.371,0.0304,-33.061,0.0412,0.99,0.834,0.108,95.006,198557,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Blur,Parklife - 2012 Remaster,Parklife (Special Edition),0.628,0.89,-6.094,0.0675,0.121,0.0,0.281,138.787,185093,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Anson Seabra,Keep Your Head Up Princess,Feeling For My Life,0.689,0.143,-17.374,0.264,0.97,0.0,0.109,85.398,198220,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
James Blunt,You’re Beautiful,The Stars Beneath My Feet (2004 - 2021),0.678,0.521,-8.602,0.0266,0.618,1.15e-05,0.088,81.987,213840,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jillian Wasser,Verlorene Liebe,Verlorene Liebe,0.479,0.0298,-26.052,0.0332,0.918,0.901,0.101,100.048,182668,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kina Grannis,For Now,In the Waiting,0.394,0.249,-10.484,0.0396,0.927,0.0,0.115,79.549,198404,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
John Coltrane,"A Love Supreme, Pt. II - Resolution",A Love Supreme,0.341,0.57,-11.71,0.0673,0.581,0.0,0.0966,89.754,437840,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tall Heights,Hear It Again,Juniors,0.52,0.693,-7.948,0.0341,0.0107,0.00116,0.0875,89.983,233533,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blake Mills,If I'm Unworthy,Heigh Ho,0.557,0.252,-10.704,0.0655,0.742,0.0197,0.107,75.408,283080,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
L'aupaire,Friends,Nostalgia,0.422,0.609,-6.361,0.0335,0.0114,4.76e-06,0.108,107.34,230011,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Little Grim,Play Nice,Play Nice,0.744,0.41,-8.303,0.0621,0.366,0.0,0.0428,135.061,161333,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Broken Social Scene,Pacific Theme,You Forgot It In People,0.723,0.703,-9.495,0.0318,0.0272,0.313,0.0979,129.725,309187,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Goo Goo Dolls,Use Me,You Should Be Happy,0.538,0.729,-4.982,0.0397,0.0763,0.0108,0.117,88.053,200386,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
DANGERDOOM,Space Hos,THE MOUSE & THE MASK,0.733,0.82,-7.288,0.24,0.239,0.0,0.335,97.733,209480,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles Bradley,Heart of Gold,No Time For Dreaming,0.749,0.659,-7.617,0.0278,0.139,0.000447,0.0716,91.199,183440,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andreas Gabalier,Hulapalu,Wirtshaus Lieder,0.705,0.676,-4.672,0.0467,0.505,0.0,0.628,124.96,180253,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bob Marley & The Wailers,Is This Love,Kaya,0.776,0.559,-8.375,0.103,0.11,0.0,0.0671,122.242,232200,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaïs Mitchell,Brooklyn Bridge,Anaïs Mitchell,0.272,0.201,-15.293,0.0399,0.82,0.203,0.209,165.508,258760,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sinkane,Favorite Song,Life & Livin' It,0.601,0.713,-4.987,0.0251,0.000379,0.0618,0.348,100.013,293253,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The White Stripes,Seven Nation Army,Elephant,0.745,0.466,-7.62,0.0864,0.00666,0.35,0.272,123.889,231920,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sia,1+1 - Banx & Ranx Remix,Plan A - It's Hits,0.77,0.725,-4.556,0.0468,0.0362,0.0,0.0699,110.048,196241,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
flora cash,OVER,Home Alone 2,0.838,0.623,-7.524,0.354,0.532,0.0,0.307,135.935,222155,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shovels & Rope,The Human Race,Manticore,0.678,0.237,-7.955,0.0297,0.705,0.0,0.0577,127.085,220965,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Adele,Strangers By Nature,30,0.387,0.253,-8.901,0.0336,0.798,0.000159,0.0848,68.004,182163,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayday Parade,Terrible Things - EP Version,Valdosta EP,0.285,0.371,-6.833,0.0295,0.698,0.00392,0.104,154.989,238076,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Milk Carton Kids,Hope of A Lifetime - Live,Live From Lincoln Theatre,0.527,0.381,-16.223,0.0418,0.905,0.0127,0.712,115.253,212440,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Amy Winehouse,Mr Magic (Through The Smoke),Frank,0.858,0.518,-7.241,0.0416,0.0203,0.0232,0.0961,99.507,236504,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lazy oscar,Third Eye,Third Eye,0.647,0.318,-11.652,0.0624,0.446,0.717,0.116,86.994,122424,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Moussa,Cabrioli,Cabrioli,0.797,0.674,-3.93,0.134,0.293,1.82e-06,0.487,103.243,152631,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Magic Mumble Jumble,Don’t Forget,Don’t Forget My Love,0.639,0.873,-6.222,0.0408,0.0237,0.0143,0.119,121.031,199091,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonwayne,Green Light,Melodrama,0.594,0.721,-7.812,0.0957,0.0209,8.55e-06,0.0879,128.942,234653,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Edward Maya,Stereo Love,Stereo Love,0.803,0.873,-2.976,0.0371,0.0323,0.0322,0.0836,127.085,155755,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Todd Terje,Alfonso Muskedunder,It's Album Time,0.569,0.948,-7.536,0.0512,0.0328,0.925,0.0928,192.043,204933,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thunderbitch,Leather Jacket,Thunderbitch,0.355,0.768,-8.124,0.0542,0.00176,0.0065,0.0939,128.961,199987,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lorenz Büffel,Johnny Däpp (Ich will Mallorca zurück),Johnny Däpp (Ich will Mallorca zurück),0.752,0.858,-2.901,0.125,0.0378,0.0,0.0554,132.005,223672,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bloc Party,The Love Within,Hymns,0.651,0.466,-9.365,0.032,0.00303,0.00886,0.121,130.004,277699,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Train,Shake Up Christmas,"Save Me, San Francisco (Golden Gate Edition)",0.458,0.831,-2.187,0.0654,0.0031,0.0,0.337,81.531,232213,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Son Mieux,Pretty Strangers,Faire De Son Mieux,0.55,0.702,-6.304,0.0275,0.0527,4.06e-05,0.243,92.019,169533,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
jeremy messersmith,Postmodern Girl,Late Stage Capitalism,0.64,0.36,-14.241,0.0366,0.742,0.324,0.105,147.798,219400,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Colm R. McGuinness,Jenny of Oldstones,Keep Colm And Cover Up,0.259,0.26,-12.156,0.0337,0.825,2.71e-06,0.104,129.014,191708,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bob Seger,Night Moves,Night Moves,0.705,0.743,-6.631,0.042,0.432,0.0133,0.103,118.552,324422,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.J. Cale,Don't Go To Strangers,Naturally,0.789,0.217,-20.727,0.0499,0.792,0.228,0.111,117.549,143800,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Avalanches,If I Was a Folkstar,Wildflower,0.671,0.909,-8.502,0.0506,0.562,0.847,0.0966,123.188,273253,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Beatles,Here Comes The Sun - Remastered 2009,Abbey Road (Remastered),0.557,0.54,-10.484,0.0347,0.0339,0.00248,0.179,129.171,185733,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nothing But Thieves,If I Get High,Nothing But Thieves (Deluxe),0.441,0.57,-5.584,0.032,0.0104,0.0146,0.123,139.876,206560,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
